Date;Open;High;Low;Close;Volume
2011.09.13 00:00;1805.0;1822.2;1797.5;1813.3;1
2011.09.14 00:00;1812.8;1833.8;1811.3;1825.35;1
2011.09.15 00:00;1825.5;1831.65;1816.6;1820.75;1
2011.09.16 00:00;1819.9;1830.5;1814.35;1821.65;1
2011.09.19 00:00;1821.0;1840.4;1821.65;1838.3;1
2011.09.20 00:00;1837.3;1862.0;1837.84;1860.5;1
2011.09.21 00:00;1858.75;1889.5;1860.5;1880.75;1
2011.09.22 00:00;1879.0;1929.43;1876.5;1915.0;1
2011.09.23 00:00;1914.0;1919.5;1890.5;1904.0;1
2011.09.26 00:00;1903.0;1913.0;1897.0;1913.0;1
2011.09.27 00:00;1907.0;1913.0;1883.0;1892.0;1
2011.09.28 00:00;1886.0;1919.5;1888.0;1919.0;1
2011.09.29 00:00;1917.8;1925.95;1909.0;1918.0;1
2011.09.30 00:00;1917.4;1937.1;1918.2;1930.0;1
2011.10.03 00:00;1929.99;1963.0;1929.51;1960.0;1
2011.10.04 00:00;1959.3;1988.0;1960.15;1984.0;1
2011.10.05 00:00;1982.7;1983.7;1959.55;1961.0;1
2011.10.06 00:00;1960.0;1961.0;1945.0;1947.8;1
2011.10.07 00:00;1946.8;1947.8;1924.0;1936.0;1
2011.10.10 00:00;1932.8;1936.9;1933.7;1936.9;1
2011.10.11 00:00;1935.9;1936.9;1908.0;1915.0;1
2011.10.12 00:00;1914.0;1915.0;1893.51;1896.0;1
2011.10.13 00:00;1895.0;1914.8;1894.5;1903.0;1
2011.10.14 00:00;1902.0;1903.5;1887.25;1887.5;1
2011.10.17 00:00;1886.5;1887.75;1887.25;1887.5;1
2011.10.18 00:00;1886.5;1908.5;1887.5;1902.0;1
2011.10.19 00:00;1902.0;1905.5;1893.2;1900.9;1
2011.10.20 00:00;1899.3;1911.8;1896.0;1908.5;1
2011.10.21 00:00;1907.8;1909.0;1890.8;1892.5;1
2011.10.24 00:00;1893.0;1895.0;1870.8;1872.25;1
2011.10.25 00:00;1871.8;1879.55;1867.6;1878.2;1
2011.10.26 00:00;1877.4;1885.35;1868.25;1879.5;1
2011.10.27 00:00;1878.6;1879.8;1858.5;1861.55;1
2011.10.28 00:00;1860.7;1867.15;1857.55;1864.5;1
2011.10.31 00:00;1863.5;1874.8;1862.75;1866.0;1
2011.11.01 00:00;1865.0;1898.5;1866.0;1891.5;1
2011.11.02 00:00;1891.0;1911.9;1882.8;1911.9;1
2011.11.03 00:00;1905.5;1910.5;1899.1;1909.0;1
2011.11.04 00:00;1909.5;1920.5;1906.0;1908.5;1
2011.11.07 00:00;1907.5;1915.0;1908.0;1915.0;1
2011.11.08 00:00;1912.0;1915.13;1904.5;1908.5;1
2011.11.09 00:00;1906.0;1924.5;1906.0;1924.5;1
2011.11.10 00:00;1920.0;1924.5;1910.0;1916.0;1
2011.11.11 00:00;1915.0;1916.0;1910.0;1911.0;1
2011.11.14 00:00;1910.0;1915.0;1911.0;1915.0;1
2011.11.15 00:00;1916.0;1919.5;1912.5;1917.0;1
2011.11.16 00:00;1916.0;1917.0;1908.0;1911.0;1
2011.11.17 00:00;1910.5;1920.0;1904.5;1919.5;1
2011.11.18 00:00;1919.0;1920.0;1915.75;1917.5;1
2011.11.21 00:00;1916.0;1930.5;1917.0;1929.0;1
2011.11.22 00:00;1928.0;1931.5;1911.0;1919.15;1
2011.11.23 00:00;1918.3;1938.03;1919.15;1934.63;1
2011.11.24 00:00;1935.39;1935.65;1935.65;1935.65;1
2011.11.25 00:00;1935.39;1957.81;1935.65;1957.5;1
2011.11.28 00:00;1956.0;1968.1;1939.5;1950.0;1
2011.11.29 00:00;1949.0;1972.8;1946.0;1967.04;1
2011.11.30 00:00;1966.9;1967.04;1943.4;1952.08;1
2011.12.01 00:00;1951.15;1954.75;1943.0;1946.5;1
2011.12.02 00:00;1946.0;1947.5;1936.33;1941.0;1
2011.12.05 00:00;1940.0;1945.5;1932.8;1935.55;1
2011.12.06 00:00;1935.0;1941.25;1931.0;1934.51;1
2011.12.07 00:00;1934.0;1937.0;1927.0;1927.5;1
2011.12.08 00:00;1927.0;1930.0;1924.5;1929.5;1
2011.12.09 00:00;1928.0;1931.0;1923.5;1926.28;1
2011.12.12 00:00;1930.0;1938.25;1924.5;1931.35;1
2011.12.13 00:00;1930.8;1934.0;1925.85;1929.95;1
2011.12.14 00:00;1929.7;1942.11;1929.5;1938.18;1
2011.12.15 00:00;1937.86;1938.43;1932.73;1935.5;1
2011.12.16 00:00;1935.0;1942.08;1928.7;1941.36;1
2011.12.19 00:00;1940.71;1944.6;1934.45;1935.2;1
